ensemble_size,ensemble_dir,filters,kernels,strides,model_config,logit_total_bits,activation_total_bits,val_loss,val_accuracy,num_parameters
3,ensemble_37,"[16, 16, 32, 32, 64, 64]","[3, 3, 3, 3, 3, 1, 3, 3, 1]","[""111"", ""212"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32, 64, 64], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212"", ""212""]}",6,4,1.4358543157577515,0.6319000124931335,356979
4,ensemble_38,"[16, 16, 32, 32, 64, 64]","[3, 3, 3, 3, 3, 1, 3, 3, 1]","[""111"", ""212"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32, 64, 64], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212"", ""212""]}",6,4,1.7005304098129272,0.5216000080108643,475972
5,ensemble_39,"[16, 16, 32, 32, 64, 64]","[3, 3, 3, 3, 3, 1, 3, 3, 1]","[""111"", ""212"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32, 64, 64], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212"", ""212""]}",6,4,1.5254158973693848,0.5896999835968018,594965
2,ensemble_40,"[16, 16, 32, 32, 64, 64]","[3, 3, 3, 3, 3, 1, 3, 3, 1]","[""111"", ""212"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32, 64, 64], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212"", ""212""]}",8,2,1.1297765970230103,0.6794000267982483,237986
3,ensemble_41,"[16, 16, 32, 32, 64, 64]","[3, 3, 3, 3, 3, 1, 3, 3, 1]","[""111"", ""212"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32, 64, 64], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212"", ""212""]}",8,2,1.137581467628479,0.7078999876976013,356979
4,ensemble_42,"[16, 16, 32, 32, 64, 64]","[3, 3, 3, 3, 3, 1, 3, 3, 1]","[""111"", ""212"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32, 64, 64], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212"", ""212""]}",8,2,1.1426725387573242,0.7174000144004822,475972
5,ensemble_43,"[16, 16, 32, 32, 64, 64]","[3, 3, 3, 3, 3, 1, 3, 3, 1]","[""111"", ""212"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32, 64, 64], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212"", ""212""]}",8,2,1.1236588954925537,0.728600025177002,594965
2,ensemble_44,"[16, 16, 32, 32, 64, 64]","[3, 3, 3, 3, 3, 1, 3, 3, 1]","[""111"", ""212"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32, 64, 64], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212"", ""212""]}",8,4,1.0996663570404053,0.6794999837875366,237986
3,ensemble_45,"[16, 16, 32, 32, 64, 64]","[3, 3, 3, 3, 3, 1, 3, 3, 1]","[""111"", ""212"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32, 64, 64], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212"", ""212""]}",8,4,1.1423710584640503,0.7167999744415283,356979
4,ensemble_46,"[16, 16, 32, 32, 64, 64]","[3, 3, 3, 3, 3, 1, 3, 3, 1]","[""111"", ""212"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32, 64, 64], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212"", ""212""]}",8,4,1.197610855102539,0.7319999933242798,475972
5,ensemble_47,"[16, 16, 32, 32, 64, 64]","[3, 3, 3, 3, 3, 1, 3, 3, 1]","[""111"", ""212"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32, 64, 64], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212"", ""212""]}",8,4,1.28474760055542,0.7182000279426575,594965
1,model_0,"[8, 8]","[3, 3, 3]","[""111""]","{""avg_pooling"": 0, ""filters"": [8, 8], ""final_activation"": 1, ""kernels"": [3, 3, 3], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111""]}",2,2,2.2255806922912598,0.18559999763965607,83421
1,model_1,"[8, 8]","[3, 3, 3]","[""111""]","{""avg_pooling"": 0, ""filters"": [8, 8], ""final_activation"": 1, ""kernels"": [3, 3, 3], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111""]}",4,2,2.077153205871582,0.2517000138759613,83421
1,model_2,"[8, 8]","[3, 3, 3]","[""111""]","{""avg_pooling"": 0, ""filters"": [8, 8], ""final_activation"": 1, ""kernels"": [3, 3, 3], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111""]}",6,2,1.7403297424316406,0.4408999979496002,83421
1,model_3,"[8, 8]","[3, 3, 3]","[""111""]","{""avg_pooling"": 0, ""filters"": [8, 8], ""final_activation"": 1, ""kernels"": [3, 3, 3], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111""]}",8,2,1.394938588142395,0.5306000113487244,83421
1,model_4,"[8, 8]","[3, 3, 3]","[""111""]","{""avg_pooling"": 0, ""filters"": [8, 8], ""final_activation"": 1, ""kernels"": [3, 3, 3], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111""]}",2,4,2.276446580886841,0.18549999594688416,83421
1,model_5,"[8, 8]","[3, 3, 3]","[""111""]","{""avg_pooling"": 0, ""filters"": [8, 8], ""final_activation"": 1, ""kernels"": [3, 3, 3], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111""]}",4,4,2.1834332942962646,0.15929999947547913,83421
1,model_6,"[8, 8]","[3, 3, 3]","[""111""]","{""avg_pooling"": 0, ""filters"": [8, 8], ""final_activation"": 1, ""kernels"": [3, 3, 3], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111""]}",6,4,1.7173508405685425,0.4221000075340271,83421
1,model_7,"[8, 8]","[3, 3, 3]","[""111""]","{""avg_pooling"": 0, ""filters"": [8, 8], ""final_activation"": 1, ""kernels"": [3, 3, 3], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111""]}",8,4,1.3087480068206787,0.5464000105857849,83421
1,model_8,"[8, 8]","[3, 3, 3]","[""111""]","{""avg_pooling"": 0, ""filters"": [8, 8], ""final_activation"": 1, ""kernels"": [3, 3, 3], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111""]}",2,6,2.2061874866485596,0.19589999318122864,83421
1,model_9,"[8, 8]","[3, 3, 3]","[""111""]","{""avg_pooling"": 0, ""filters"": [8, 8], ""final_activation"": 1, ""kernels"": [3, 3, 3], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111""]}",4,6,2.274338483810425,0.13289999961853027,83421
1,model_10,"[8, 8]","[3, 3, 3]","[""111""]","{""avg_pooling"": 0, ""filters"": [8, 8], ""final_activation"": 1, ""kernels"": [3, 3, 3], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111""]}",6,6,1.560341715812683,0.46369999647140503,83421
1,model_11,"[8, 8]","[3, 3, 3]","[""111""]","{""avg_pooling"": 0, ""filters"": [8, 8], ""final_activation"": 1, ""kernels"": [3, 3, 3], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111""]}",8,6,1.225284218788147,0.5730999708175659,83421
