model_name,test_loss,test_accuracy
model_63,0.7850751876831055,0.7317289113998413
model_64,0.8875088691711426,0.6797409653663635
model_65,0.8560059070587158,0.7019217014312744
model_66,0.8038490414619446,0.7135903835296631
model_67,0.7986614108085632,0.7166385650634766
model_68,0.8679352402687073,0.6981566548347473
model_69,0.8178427219390869,0.704891562461853
model_7,0.8100425601005554,0.7246566414833069
model_70,0.7947854995727539,0.7173011898994446
model_71,0.7864236831665039,0.7231445908546448
model_72,0.8547065258026123,0.698951780796051
model_73,0.8161488175392151,0.7117229104042053
model_74,0.7670432925224304,0.725078284740448
model_75,0.7479930520057678,0.7316505908966064
model_76,0.8619255423545837,0.6938132643699646
model_77,0.7902193069458008,0.7170120477676392
model_78,0.7992261648178101,0.7144819498062134
model_79,0.7775420546531677,0.7264337539672852
model_8,0.9465894103050232,0.6984457969665527
model_80,0.8729968070983887,0.6977770924568176
model_81,0.837279200553894,0.7065542340278625
model_82,0.813112735748291,0.7076807022094727
model_83,0.7753239870071411,0.722301185131073
model_84,0.845172643661499,0.7059277296066284
model_85,0.8162203431129456,0.7080000042915344
model_86,0.7903199195861816,0.7195783257484436
model_87,0.7601920366287231,0.7280903458595276
model_88,0.8275901079177856,0.7079156637191772
model_89,0.7931023836135864,0.71916264295578
model_9,0.8581109642982483,0.7035782933235168
model_90,0.7854637503623962,0.7240241169929504
model_91,0.7521827220916748,0.7285301089286804
model_92,0.8247706294059753,0.7084397673606873
model_93,0.7894812822341919,0.7162108421325684
model_94,0.7656662464141846,0.7275481820106506
model_95,0.7744009494781494,0.7156084179878235
model_96,0.8587442636489868,0.6982409358024597
model_97,0.8300584554672241,0.7097349166870117
model_98,0.7757512927055359,0.7222710847854614
model_99,0.7809069752693176,0.7201204895973206
